sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,BCN - El Papalote cementerio,False,True,2024-02-14 06:31,30.4595199,650,S161758189,True,-115.936178,wessan,L2592506
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-14 08:39,31.6808025,1500,S161553753,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Puerto Vallarta-Rio Cuale,False,True,2024-02-14 09:41,20.6479148,5,S161501717,True,-105.2341318,wessan,L5996583
Calidris mauri,Western Sandpiper,McLaughlin Eastshore SP--Albany access,False,True,2024-02-15 16:36,37.890326,2000,S161616840,False,-122.314765,wessan,L2377313
Calidris mauri,Western Sandpiper,"Auto selected 27.95902, -110.82764",False,True,2024-02-15 09:08,27.959022,15,S161579776,True,-110.827637,wessan,L29270769
Calidris mauri,Western Sandpiper,Del Mar Public Works,False,True,2024-02-16 17:03,32.9708025,20,S161745526,False,-117.2644883,wessan,L1284797
Calidris mauri,Western Sandpiper,"Lighthouse Marine Park, Point Roberts",False,True,2024-02-16 09:55,48.9722422,2,S161695583,False,-123.0836705,wessan,L336663
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-16 17:01,31.6808025,400,S162304671,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Fort Stevens SP--Wreck of the Peter Iredale,False,True,2024-02-17 13:57,46.1771308,10,S193110556,False,-123.9787881,wessan,L2879090
Calidris mauri,Western Sandpiper,Warrenton Cannery Road,False,True,2024-02-17 12:00,46.7464125,3,S161889055,False,-124.0935448,wessan,L1363124
Calidris mauri,Western Sandpiper,Delta--Brunswick Point,True,True,2024-02-17 10:25,49.06564,1,S161889128,False,-123.15415,wessan,L348443
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-17 09:46,31.6808025,1000,S162304564,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,"Francisco Villa, Nayarit, MX (22.222, -105.331)Geros",False,True,2024-02-17 17:12,22.2215886,15,S161920147,True,-105.3308799,wessan,L29050598
Calidris mauri,Western Sandpiper,Samish River mouth,False,True,2024-02-18 13:00,48.554228,1,S162157780,False,-122.4546432,wessan,L1108046
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-18 12:26,31.6808025,500,S162304309,False,-114.4950485,wessan,L3480257
