subId,lat,locationPrivate,locName,obsDt,sciName,howMany,locId,obsValid,speciesCode,obsReviewed,lng,comName
S19572278,38.551789,False,Yolo Bypass Wildlife Area,2014-08-24 18:30,Calidris mauri,800,L443535,True,wessan,False,-121.6208018,Western Sandpiper
S19566395,42.4079952,True,Agate Lake ,2014-08-24 20:05,Calidris mauri,14,L1024204,True,wessan,False,-122.7677536,Western Sandpiper
S19565637,48.2320943,False,Leque Island--Eide Rd.,2014-08-24 17:45,Calidris mauri,250,L1667064,True,wessan,False,-122.3829746,Western Sandpiper
S19563079,60.3859137,False,Kasilof--Kasilof River Mouth,2014-08-24 12:30,Calidris mauri,14,L1067145,True,wessan,False,-151.302166,Western Sandpiper
S19566331,48.5952164,False,ȾIX̱EṈ / Saanichton Spit (Private Property of Tsawout Nation),2014-08-24 18:30,Calidris mauri,1,L346076,True,wessan,False,-123.3716993,Western Sandpiper
S19575212,33.8513143,False,Upper Santa Ana River--Tustin Ave. to Lakeview Ave.,2014-08-25 19:05,Calidris mauri,,L958730,True,wessan,False,-117.8263092,Western Sandpiper
S19576016,42.4079952,True,Agate Lake ,2014-08-25 19:25,Calidris mauri,25,L1024204,True,wessan,False,-122.7677536,Western Sandpiper
S19575066,47.9941723,False,Discovery Bay,2014-08-25 18:02,Calidris mauri,2,L808110,True,wessan,False,-122.8819084,Western Sandpiper
S19576385,57.17012,False,St. Paul Island,2014-08-25 08:46,Calidris mauri,14,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19576601,49.3262886,False,Englishman River Estuary--Shelly St side,2014-08-25 18:45,Calidris mauri,5,L1632371,True,wessan,False,-124.2953807,Western Sandpiper
S19569859,21.6070037,False,Granja de Camarón Chacalilla,2014-08-25 07:30,Calidris mauri,40,L592109,True,wessan,False,-105.2806091,Western Sandpiper
S19589365,39.6943094,False,Chico Oxidation Ponds (restricted access),2014-08-26 19:05,Calidris mauri,3,L470705,True,wessan,False,-121.9103909,Western Sandpiper
S19584671,44.6231604,False,Mark Hatfield Marine Science Center and Estuary Trail,2014-08-26 19:20,Calidris mauri,5,L613298,True,wessan,False,-124.0434766,Western Sandpiper
S19585113,48.1114603,False,Kah Tai Lagoon,2014-08-26 19:30,Calidris mauri,6,L292857,True,wessan,False,-122.7781165,Western Sandpiper
S19588890,60.3886638,True,AK - KEN - Kasilof River north bank,2014-08-26 14:00,Calidris mauri,12,L1561518,True,wessan,False,-151.2981752,Western Sandpiper
S19585032,49.0767445,False,Delta—Boundary Bay - 104th St.,2014-08-26 17:44,Calidris mauri,500,L340154,True,wessan,False,-122.9350166,Western Sandpiper
S19580687,21.6070037,False,Granja de Camarón Chacalilla,2014-08-26 07:10,Calidris mauri,,L592109,True,wessan,False,-105.2806091,Western Sandpiper
S19592790,39.6943094,False,Chico Oxidation Ponds (restricted access),2014-08-27 18:37,Calidris mauri,4,L470705,True,wessan,False,-121.9103909,Western Sandpiper
